region,year,a_2009_h1n1,a_h3,a_no_subtype,b,b_vic,byam,h3n2v,a_h5,test_cases,tested_pos
East North Central,2015,67,26,2,2,1,11,0,0,2032,109
East North Central,2016,1857,685,36,36,243,211,18,0,9346,3086
East North Central,2017,203,4430,24,75,599,907,16,0,13000,6254
East North Central,2018,934,2619,26,212,34,1244,1,0,11973,5070
East North Central,2019,2373,2181,68,173,508,78,0,0,12533,5381
East North Central,2020,2139,100,198,425,1393,4,0,0,11144,4259
East North Central,2021,4,1141,309,9,4,0,2,0,67214,1469
East North Central,2022,872,3146,622,6,9,0,1,0,157719,4656
East North Central,2023,1193,559,137,24,215,0,1,0,38367,2129
East North Central,2024,1608,1361,266,56,633,0,0,2,11172,3926
East South Central,2015,4,1,0,23,0,0,0,0,818,28
East South Central,2016,303,138,1,125,26,21,0,0,2655,614
East South Central,2017,149,1123,49,203,31,78,0,0,4509,1633
East South Central,2018,268,747,54,171,17,409,0,0,4089,1666
East South Central,2019,317,847,6,12,257,5,0,0,3474,1444
East South Central,2020,643,14,0,4,265,1,0,0,2536,927
East South Central,2021,0,265,20,5,0,0,0,0,20506,290
East South Central,2022,210,514,30,4,0,0,0,0,10033,758
East South Central,2023,179,71,5,7,120,0,0,0,1168,382
East South Central,2024,509,752,55,4,161,0,0,0,3084,1481
Middle Atlantic,2015,57,96,2,5,4,9,0,0,1265,173
Middle Atlantic,2016,1436,804,67,198,321,361,0,0,6385,3187
Middle Atlantic,2017,59,2228,10,162,112,329,1,0,5499,2901
Middle Atlantic,2018,946,2123,31,316,83,684,0,0,7343,4183
Middle Atlantic,2019,1808,2017,91,223,137,29,0,0,7443,4305
Middle Atlantic,2020,1133,130,19,478,236,13,0,0,5324,2009
Middle Atlantic,2021,3,654,133,23,1,0,0,0,230147,814
Middle Atlantic,2022,236,2013,856,12,7,0,0,0,230011,3124
Middle Atlantic,2023,945,253,241,65,181,0,0,0,62457,1685
Middle Atlantic,2024,1803,1184,321,90,254,0,0,0,19802,3652
Mountain,2015,180,68,1,3,5,42,0,0,1517,299
Mountain,2016,2472,2250,23,206,233,1313,0,0,10121,6497
Mountain,2017,198,6416,6,42,344,1424,0,0,11801,8430
Mountain,2018,1862,2454,35,102,305,1985,0,0,9566,6743
Mountain,2019,3269,2948,53,229,1421,54,0,0,11834,7974
Mountain,2020,2661,69,62,263,1438,17,0,0,180101,4510
Mountain,2021,1,1399,659,17,11,0,0,0,215901,2087
Mountain,2022,1068,6533,1308,18,19,0,1,0,115226,8947
Mountain,2023,1968,640,1183,236,710,0,0,0,32176,4737
Mountain,2024,1912,2764,1031,367,1118,0,1,13,18472,7206
New England,2015,14,20,0,1,1,0,0,0,474,36
New England,2016,1334,373,6,294,92,64,0,0,3720,2163
New England,2017,36,2215,4,188,74,458,0,0,4306,2975
New England,2018,543,1576,11,62,88,625,0,0,5052,2905
New England,2019,1774,776,21,8,237,50,0,0,4376,2866
New England,2020,830,135,9,27,624,16,0,0,3673,1641
New England,2021,2,377,5,1,9,0,0,0,55282,394
New England,2022,262,1931,1566,2,3,0,0,0,64787,3764
New England,2023,1172,318,355,39,134,0,0,0,14700,2018
New England,2024,1883,1616,340,99,397,0,0,0,11655,4335
Pacific,2015,59,204,9,55,17,50,0,0,4354,394
Pacific,2016,2820,2929,112,1261,463,1095,0,0,23383,8680
Pacific,2017,429,8474,182,637,189,638,0,0,25237,10549
Pacific,2018,1870,3960,443,1361,236,1700,0,0,20609,9570
Pacific,2019,5178,3238,1760,1492,1320,72,0,0,24663,13060
Pacific,2020,3677,178,348,559,1470,17,1,0,19588,6250
Pacific,2021,0,244,45,18,11,1,0,0,82646,319
Pacific,2022,662,6071,798,43,9,0,0,0,210386,7583
Pacific,2023,2001,1279,252,107,299,0,0,0,34807,3938
Pacific,2024,3362,4084,519,191,763,0,0,68,25473,8987
South Atlantic,2015,32,40,4,17,2,10,0,0,3250,105
South Atlantic,2016,2991,1123,99,558,366,387,0,0,15156,5524
South Atlantic,2017,398,6580,30,551,552,1215,40,0,20929,9366
South Atlantic,2018,2052,4712,55,474,383,1770,0,0,21023,9446
