region,year,a_2009_h1n1,a_h3,a_no_subtype,b,b_vic,byam,h3n2v,a_h5,test_cases,tested_pos
Alabama,2015,59,16,1,2,2,2,0,0,256,82
Alabama,2016,3,227,1,2,15,14,0,0,570,262
Alabama,2017,131,204,4,7,4,66,0,0,823,416
Alabama,2018,42,162,3,1,20,0,0,0,530,228
Alabama,2019,174,6,0,5,123,0,0,0,690,308
Alabama,2020,0,0,1,5,0,0,0,0,15011,6
Alabama,2021,0,223,32,4,0,0,0,0,12304,259
Alabama,2022,2,17,3,0,0,0,0,0,172,22
Alabama,2023,28,9,2,0,13,0,0,0,498,52
Alabama,2024,181,197,21,4,0,0,0,0,808,403
Arizona,2015,762,580,0,13,58,399,0,0,2110,1812
Arizona,2016,63,1630,0,5,227,578,0,0,2975,2503
Arizona,2017,180,2055,0,8,197,720,0,0,3366,3160
Arizona,2018,1192,628,3,0,30,22,0,0,2291,1875
Arizona,2019,632,33,0,38,560,8,0,0,1676,1271
Arizona,2020,1,1,0,0,1,0,0,0,263,3
Arizona,2021,0,737,6,1,4,0,0,0,1393,748
Arizona,2022,227,513,12,6,136,0,0,0,1672,894
Arizona,2023,536,159,11,5,220,0,0,0,3530,931
Arizona,2024,1310,1962,15,10,136,0,0,2,4896,3435
Arkansas,2015,20,8,0,1,12,0,0,0,128,41
Arkansas,2016,0,51,0,0,4,0,0,0,121,55
Arkansas,2017,21,101,0,19,0,43,0,0,413,184
Arkansas,2018,74,69,0,0,2,0,0,0,497,145
Arkansas,2019,146,1,4,54,45,0,0,0,782,250
Arkansas,2020,0,0,0,0,0,0,0,0,262,0
Arkansas,2021,0,186,332,5,0,0,0,0,65351,523
Arkansas,2022,99,30,97,4,2,0,0,0,8219,232
Arkansas,2023,49,193,205,6,36,0,0,0,1945,489
Arkansas,2024,522,413,1050,3,6,0,0,0,3004,1994
California,2015,1462,854,35,775,309,803,0,0,12820,4238
California,2016,184,4696,120,116,28,152,0,0,14074,5296
California,2017,661,4664,194,702,282,1289,0,0,15664,7792
California,2018,2991,1306,227,36,33,37,0,0,8866,4630
California,2019,3055,272,182,475,1742,36,0,0,10933,5762
California,2020,0,3,10,6,1,3,0,0,3196,23
California,2021,6,1204,229,35,2,0,0,0,63899,1476
California,2022,448,2593,253,26,56,0,0,0,10547,3376
California,2023,1818,1056,162,109,339,0,0,0,9869,3484
California,2024,9226,10059,680,175,1032,0,0,53,26549,21225
Colorado,2015,912,243,3,13,40,144,0,0,1625,1355
Colorado,2016,3,267,2,4,31,219,0,0,714,526
Colorado,2017,54,501,4,19,2,162,0,0,1087,742
Colorado,2018,520,541,29,5,16,3,0,0,1538,1114
Colorado,2019,552,53,10,145,187,0,0,0,1824,947
Colorado,2020,0,1,0,0,0,0,0,0,2232,1
Colorado,2021,1,713,19,0,1,0,0,0,1337,734
Colorado,2022,206,448,10,0,101,0,0,0,890,765
Colorado,2023,460,412,19,14,303,0,1,11,1636,1220
Colorado,2024,321,244,941,30,54,0,0,0,1886,1590
Connecticut,2015,662,52,0,185,0,0,0,0,1581,899
Connecticut,2016,19,968,0,0,62,263,0,0,1348,1312
Connecticut,2017,161,887,0,1,47,423,0,0,2259,1519
Connecticut,2018,560,300,0,1,4,26,0,0,1319,891
Connecticut,2019,272,69,0,2,410,15,0,0,1327,768
Connecticut,2020,0,0,0,0,1,0,0,0,199,1
Connecticut,2021,2,390,6,0,0,0,0,0,622,398
Connecticut,2022,191,486,25,2,4,0,0,0,883,708
Connecticut,2023,584,438,94,5,190,0,0,0,4240,1311
Connecticut,2024,1138,763,71,504,4,0,0,0,4472,2480
Delaware,2015,414,20,12,8,78,69,0,0,2754,601
Delaware,2016,5,659,4,11,27,127,1,0,3090,834
Delaware,2017,163,382,6,24,100,206,0,0,2822,881
Delaware,2018,439,411,21,4,8,5,0,0,3156,888
Delaware,2019,507,26,14,44,359,2,0,0,2716,952
Delaware,2020,0,1,0,0,0,0,0,0,641,1
Delaware,2021,1,522,84,1,1,1,0,0,2107,610
Delaware,2022,100,109,23,0,11,0,0,0,737,243
Delaware,2023,331,197,72,20,172,0,0,0,2393,792
Delaware,2024,309,431,47,19,1,0,0,1,1539,808
District of Columbia,2015,68,3,0,7,0,3,0,0,172,81
District of Columbia,2016,1,34,0,3,0,4,0,0,73,42
District of Columbia,2017,56,193,0,0,5,80,0,0,566,334
District of Columbia,2018,147,128,0,1,19,7,0,0,1418,302
District of Columbia,2019,138,18,0,0,120,2,0,0,898,278
District of Columbia,2020,0,0,0,0,0,0,0,0,32,0
District of Columbia,2021,0,58,1,1,0,0,0,0,298,60
District of Columbia,2022,77,292,17,1,19,0,0,0,1729,406
District of Columbia,2023,412,341,44,5,202,0,0,0,2205,1004
District of Columbia,2024,903,1000,97,5,228,0,0,0,3147,2233
Florida,2015,360,184,25,300,1,3,0,0,2136,873
Florida,2016,30,781,16,283,6,5,0,0,2574,1121
Florida,2017,317,1157,30,363,9,81,0,0,3367,1957
Florida,2018,524,627,15,5,93,43,0,0,2939,1307
Florida,2019,1626,84,33,53,525,14,0,0,5167,2335
Florida,2020,1,2,12,1,2,2,0,0,56658,20
Florida,2021,6,1415,76,0,0,0,0,0,7533,1497
Florida,2022,333,808,16,2,132,0,0,0,2562,1291
Florida,2023,757,480,22,12,365,0,0,0,2577,1636
Florida,2024,994,940,48,79,1,0,0,0,2972,2062
Georgia,2015,297,32,40,19,38,41,0,0,1548,467
Georgia,2016,27,1058,8,34,333,167,0,0,3956,1627
Georgia,2017,261,582,2,38,6,254,0,0,2051,1143
Georgia,2018,228,512,14,2,13,3,0,0,1714,772
Georgia,2019,646,12,3,54,286,5,0,0,1981,1006
Georgia,2020,0,0,2,0,0,0,0,0,5036,2
Georgia,2021,9,899,132,1,4,0,0,0,2830,1045
Georgia,2022,456,1034,206,3,155,0,0,0,3227,1854
Georgia,2023,673,373,230,24,480,0,0,0,3479,1780
Georgia,2024,462,639,332,7,97,0,0,0,2727,1537
Idaho,2015,200,57,3,0,28,283,0,0,669,571
Idaho,2016,9,983,3,1,16,26,0,0,1311,1038
Idaho,2017,94,477,4,6,9,435,0,0,1273,1025
Idaho,2018,858,492,2,1,8,10,0,0,1620,1371
Idaho,2019,546,79,2,49,913,12,0,0,2153,1601
Idaho,2020,0,0,0,0,0,0,0,0,196,0
Idaho,2021,0,275,62,1,0,0,0,0,12160,338
Idaho,2022,401,1032,57,2,5,0,0,0,7915,1497
Idaho,2023,333,65,10,2,185,0,0,0,819,595
Idaho,2024,686,603,100,1,28,0,0,0,1620,1418
Illinois,2015,249,39,2,1,21,37,0,0,2879,349
Illinois,2016,6,479,0,3,325,80,0,0,3060,893
Illinois,2017,144,722,1,22,1,398,0,0,3475,1288
Illinois,2018,445,164,1,0,4,10,0,0,2509,624
Illinois,2019,376,22,60,173,268,0,0,0,2680,899
Illinois,2020,0,0,0,0,0,0,0,0,1317,0
Illinois,2021,0,373,475,1,0,0,0,0,168813,849
Illinois,2022,163,384,337,1,3,0,0,0,54058,888
Illinois,2023,190,95,151,41,88,0,0,0,4939,565
Illinois,2024,681,342,473,78,128,0,0,0,3890,1702
Indiana,2015,270,75,3,15,31,19,0,0,682,413
Indiana,2016,39,694,0,2,112,122,0,0,1255,969
Indiana,2017,126,562,0,11,14,233,1,0,1307,947
Indiana,2018,287,285,2,0,11,7,0,0,846,592
Indiana,2019,283,5,2,28,250,5,0,0,755,573
Indiana,2020,0,0,0,0,0,0,0,0,124,0
Indiana,2021,1,101,3,0,0,0,0,0,981,105
Indiana,2022,17,24,3,0,4,0,0,0,864,48
Indiana,2023,51,65,4,1,50,0,0,0,359,171
Indiana,2024,361,249,6,1,12,0,0,0,913,629
Iowa,2015,276,46,7,0,26,78,0,0,1085,433
Iowa,2016,15,822,9,7,79,150,0,0,1839,1082
Iowa,2017,60,980,8,2,2,480,1,0,2524,1533
Iowa,2018,468,420,20,1,27,10,0,0,2147,946
Iowa,2019,528,61,21,10,629,4,0,0,2496,1253
Iowa,2020,3,0,3,0,0,0,1,0,105,7
Iowa,2021,1,158,1,0,0,0,0,0,395,160
Iowa,2022,105,212,9,4,115,0,0,0,527,445
Iowa,2023,223,196,16,5,245,0,0,0,786,685
Iowa,2024,1086,515,34,122,0,0,0,1,1867,1758
Kansas,2015,108,16,4,2,6,20,0,0,266,156
Kansas,2016,4,122,13,15,2,10,0,0,330,166
Kansas,2017,23,54,1,21,2,15,0,0,229,116
Kansas,2018,70,156,4,0,0,0,0,0,415,230
Kansas,2019,89,0,2,21,7,0,0,0,277,119
Kansas,2020,0,0,0,0,0,0,0,0,42980,0
Kansas,2021,0,254,312,2,0,0,0,0,29750,568
Kansas,2022,24,71,65,2,4,0,0,0,1289,166
Kansas,2023,11,12,8,3,15,0,0,0,486,49
Kansas,2024,398,133,34,1,0,0,0,0,1144,566
Kentucky,2015,110,17,0,74,5,2,0,0,393,208
Kentucky,2016,20,250,0,57,3,9,0,0,541,339
Kentucky,2017,104,377,2,14,13,297,0,0,1082,807
Kentucky,2018,107,246,0,0,2,2,0,0,578,357
Kentucky,2019,124,2,0,8,88,3,0,0,420,225
Kentucky,2020,0,0,0,0,0,0,0,0,227,0
