region,year,week,total_a,total_b,total_specimens,total_cases
New England,2015,40,2,3,693,5
Middle Atlantic,2015,40,5,1,1584,6
East North Central,2015,40,13,3,1918,16
West North Central,2015,40,3,1,978,4
South Atlantic,2015,40,20,12,2403,32
East South Central,2015,40,4,4,615,8
West South Central,2015,40,8,16,1592,24
Mountain,2015,40,1,1,943,2
Pacific,2015,40,28,2,1303,30
New England,2015,41,11,4,752,15
Middle Atlantic,2015,41,5,3,1830,8
East North Central,2015,41,13,6,2114,19
West North Central,2015,41,7,5,1046,12
South Atlantic,2015,41,34,14,2728,48
East South Central,2015,41,5,3,665,8
West South Central,2015,41,10,16,1734,26
Mountain,2015,41,3,0,1040,3
Pacific,2015,41,28,3,1202,31
New England,2015,42,4,3,708,7
Middle Atlantic,2015,42,4,3,1836,7
East North Central,2015,42,4,7,2222,11
West North Central,2015,42,7,1,1137,8
South Atlantic,2015,42,55,19,2807,74
East South Central,2015,42,8,2,746,10
West South Central,2015,42,6,15,1702,21
Mountain,2015,42,2,2,1056,4
Pacific,2015,42,7,0,1227,7
New England,2015,43,1,1,716,2
Middle Atlantic,2015,43,8,5,1826,13
East North Central,2015,43,12,6,2352,18
West North Central,2015,43,5,5,1133,10
South Atlantic,2015,43,42,22,2783,64
East South Central,2015,43,5,5,725,10
West South Central,2015,43,19,5,1566,24
Mountain,2015,43,2,1,1084,3
Pacific,2015,43,4,2,1352,6
New England,2015,44,0,1,781,1
Middle Atlantic,2015,44,8,3,1856,11
East North Central,2015,44,13,9,2331,22
West North Central,2015,44,2,5,1211,7
South Atlantic,2015,44,42,27,3112,69
East South Central,2015,44,3,11,914,14
West South Central,2015,44,14,7,1756,21
Mountain,2015,44,4,2,1266,6
Pacific,2015,44,11,3,1460,14
New England,2015,45,2,1,682,3
Middle Atlantic,2015,45,8,2,1906,10
East North Central,2015,45,23,3,2366,26
West North Central,2015,45,1,0,1119,1
South Atlantic,2015,45,50,49,3300,99
East South Central,2015,45,8,10,841,18
West South Central,2015,45,20,15,2004,35
Mountain,2015,45,3,0,1337,3
Pacific,2015,45,7,6,1493,13
New England,2015,46,1,1,779,2
Middle Atlantic,2015,46,5,6,2018,11
East North Central,2015,46,15,8,2459,23
West North Central,2015,46,2,4,1085,6
South Atlantic,2015,46,32,53,3121,85
East South Central,2015,46,5,6,1005,11
West South Central,2015,46,20,17,1851,37
Mountain,2015,46,0,0,1313,0
Pacific,2015,46,4,3,1619,7
New England,2015,47,2,1,788,3
Middle Atlantic,2015,47,11,5,1825,16
East North Central,2015,47,9,5,2263,14
West North Central,2015,47,1,1,1002,2
South Atlantic,2015,47,74,55,3361,129
East South Central,2015,47,2,11,954,13
West South Central,2015,47,12,11,2176,23
Mountain,2015,47,4,1,1398,5
Pacific,2015,47,4,2,1467,6
New England,2015,48,2,1,780,3
Middle Atlantic,2015,48,19,4,2149,23
East North Central,2015,48,15,4,2574,19
West North Central,2015,48,5,1,1197,6
South Atlantic,2015,48,53,35,2944,88
East South Central,2015,48,13,14,1042,27
West South Central,2015,48,12,10,2230,22
Mountain,2015,48,10,3,1530,13
Pacific,2015,48,16,9,1755,25
New England,2015,49,2,5,821,7
Middle Atlantic,2015,49,16,4,2252,20
East North Central,2015,49,14,6,2676,20
West North Central,2015,49,7,3,1170,10
South Atlantic,2015,49,59,50,3306,109
East South Central,2015,49,7,13,1022,20
West South Central,2015,49,14,12,2219,26
Mountain,2015,49,10,7,1503,17
Pacific,2015,49,11,6,1704,17
New England,2015,50,1,2,842,3
Middle Atlantic,2015,50,13,6,2402,19
East North Central,2015,50,14,4,2642,18
West North Central,2015,50,10,3,1210,13
South Atlantic,2015,50,157,116,3816,273
East South Central,2015,50,6,15,970,21
West South Central,2015,50,11,15,2320,26
Mountain,2015,50,8,15,1495,23
Pacific,2015,50,24,16,1661,40
New England,2015,51,9,2,886,11
Middle Atlantic,2015,51,11,6,2263,17
East North Central,2015,51,20,7,2533,27
West North Central,2015,51,6,4,1136,10
South Atlantic,2015,51,96,83,3362,179
East South Central,2015,51,4,6,989,10
West South Central,2015,51,21,24,2518,45
Mountain,2015,51,25,13,1426,38
Pacific,2015,51,28,21,1765,49
New England,2015,52,6,1,991,7
Middle Atlantic,2015,52,29,17,2415,46
East North Central,2015,52,13,6,2998,19
West North Central,2015,52,6,2,1266,8
South Atlantic,2015,52,110,96,3823,206
East South Central,2015,52,3,14,1082,17
West South Central,2015,52,17,15,2542,32
Mountain,2015,52,30,19,1713,49
Pacific,2015,52,50,30,2035,80
New England,2016,1,12,5,1181,17
Middle Atlantic,2016,1,30,7,3026,37
East North Central,2016,1,54,11,3091,65
West North Central,2016,1,9,4,1381,13
South Atlantic,2016,1,91,45,3432,136
East South Central,2016,1,6,10,1012,16
West South Central,2016,1,32,13,2502,45
Mountain,2016,1,60,30,1883,90
Pacific,2016,1,102,59,2278,161
New England,2016,2,35,3,1025,38
Middle Atlantic,2016,2,56,12,2734,68
East North Central,2016,2,48,5,2899,53
West North Central,2016,2,17,2,1275,19
South Atlantic,2016,2,186,53,3314,239
East South Central,2016,2,15,12,904,27
West South Central,2016,2,36,18,2466,54
Mountain,2016,2,40,35,1739,75
Pacific,2016,2,138,84,2333,222
New England,2016,3,39,9,1097,48
Middle Atlantic,2016,3,68,10,2533,78
East North Central,2016,3,77,10,2887,87
West North Central,2016,3,26,2,1300,28
South Atlantic,2016,3,202,71,3136,273
East South Central,2016,3,12,9,850,21
West South Central,2016,3,37,26,2437,63
Mountain,2016,3,83,42,1924,125
Pacific,2016,3,172,136,2634,308
New England,2016,4,67,7,1273,74
Middle Atlantic,2016,4,103,13,2599,116
East North Central,2016,4,159,18,3312,177
West North Central,2016,4,34,6,1333,40
South Atlantic,2016,4,277,88,3607,365
East South Central,2016,4,16,12,912,28
West South Central,2016,4,59,42,2649,101
Mountain,2016,4,99,78,2171,177
Pacific,2016,4,221,148,2935,369
