region,year,week,total_a,total_b,total_specimens,total_cases
Alabama,2015,40,2,3,167,5
Arizona,2015,40,0,0,55,0
Arkansas,2015,40,0,1,26,1
California,2015,40,2,0,683,2
Colorado,2015,40,0,1,255,1
Connecticut,2015,40,1,0,304,1
Delaware,2015,40,0,0,22,0
Florida,2015,40,14,6,1068,20
Georgia,2015,40,6,5,518,11
Idaho,2015,40,0,0,11,0
Illinois,2015,40,3,0,266,3
Indiana,2015,40,0,0,97,0
Iowa,2015,40,0,0,61,0
Kansas,2015,40,2,1,90,3
Kentucky,2015,40,1,0,205,1
Louisiana,2015,40,1,2,306,3
Maryland,2015,40,0,0,27,0
Massachusetts,2015,40,1,2,259,3
Michigan,2015,40,9,0,492,9
Minnesota,2015,40,1,0,220,1
Mississippi,2015,40,1,0,140,1
Missouri,2015,40,0,0,432,0
Montana,2015,40,0,0,91,0
Nebraska,2015,40,0,0,38,0
New Hampshire,2015,40,0,0,21,0
New Mexico,2015,40,0,0,182,0
New York,2015,40,4,0,1095,4
North Carolina,2015,40,0,1,133,1
Ohio,2015,40,0,2,382,2
Oklahoma,2015,40,1,0,131,1
Oregon,2015,40,0,0,139,0
Pennsylvania,2015,40,0,1,364,1
South Carolina,2015,40,0,0,152,0
South Dakota,2015,40,0,0,134,0
Tennessee,2015,40,0,1,103,1
Texas,2015,40,6,13,1129,19
Utah,2015,40,0,0,335,0
Vermont,2015,40,0,1,91,1
Virginia,2015,40,0,0,156,0
Washington,2015,40,3,0,245,3
West Virginia,2015,40,0,0,327,0
Wisconsin,2015,40,1,1,681,2
Alabama,2015,41,2,1,167,3
Arizona,2015,41,0,0,71,0
Arkansas,2015,41,1,0,36,1
California,2015,41,3,2,661,5
Colorado,2015,41,2,0,281,2
Connecticut,2015,41,10,3,347,13
Delaware,2015,41,0,0,41,0
Florida,2015,41,33,7,1282,40
Georgia,2015,41,0,2,483,2
Illinois,2015,41,3,0,271,3
Indiana,2015,41,1,1,96,2
Iowa,2015,41,1,0,55,1
Kansas,2015,41,2,1,93,3
Kentucky,2015,41,0,0,231,0
Louisiana,2015,41,2,1,389,3
Maryland,2015,41,0,0,46,0
Massachusetts,2015,41,1,1,256,2
Michigan,2015,41,8,2,534,10
Minnesota,2015,41,2,0,243,2
Mississippi,2015,41,2,0,147,2
Missouri,2015,41,2,2,487,4
Montana,2015,41,0,0,72,0
Nebraska,2015,41,0,2,55,2
Nevada,2015,41,0,0,12,0
New Hampshire,2015,41,0,0,23,0
New Mexico,2015,41,0,0,218,0
New York,2015,41,4,2,1239,6
North Carolina,2015,41,0,2,146,2
Ohio,2015,41,1,1,620,2
Oklahoma,2015,41,0,0,159,0
Oregon,2015,41,1,0,117,1
Pennsylvania,2015,41,1,1,463,2
South Carolina,2015,41,0,0,183,0
South Dakota,2015,41,0,0,109,0
Tennessee,2015,41,1,2,120,3
Texas,2015,41,7,15,1150,22
Utah,2015,41,0,0,362,0
Vermont,2015,41,0,0,110,0
Virginia,2015,41,1,0,174,1
Washington,2015,41,4,0,239,4
West Virginia,2015,41,0,3,373,3
Wisconsin,2015,41,0,2,593,2
Wyoming,2015,41,1,0,15,1
Alabama,2015,42,4,1,193,5
Arizona,2015,42,0,0,74,0
Arkansas,2015,42,0,0,40,0
California,2015,42,2,0,609,2
Colorado,2015,42,1,1,281,2
Connecticut,2015,42,4,2,313,6
Delaware,2015,42,1,0,46,1
Florida,2015,42,47,8,1355,55
Georgia,2015,42,2,3,503,5
Idaho,2015,42,0,0,22,0
Illinois,2015,42,3,3,275,6
Indiana,2015,42,0,0,76,0
Iowa,2015,42,3,0,93,3
Kansas,2015,42,2,0,69,2
Kentucky,2015,42,1,0,234,1
Louisiana,2015,42,1,0,407,1
Maryland,2015,42,0,0,62,0
Massachusetts,2015,42,0,1,244,1
Michigan,2015,42,0,0,541,0
Minnesota,2015,42,1,1,262,2
Mississippi,2015,42,1,0,148,1
Missouri,2015,42,1,0,502,1
Montana,2015,42,0,0,68,0
Nebraska,2015,42,0,0,60,0
New Hampshire,2015,42,0,0,10,0
New Mexico,2015,42,0,0,235,0
New York,2015,42,1,2,1262,3
North Carolina,2015,42,1,0,158,1
North Dakota,2015,42,0,0,12,0
Ohio,2015,42,0,4,682,4
Oklahoma,2015,42,1,1,171,2
Oregon,2015,42,0,0,142,0
Pennsylvania,2015,42,3,1,441,4
South Carolina,2015,42,3,0,219,3
South Dakota,2015,42,0,0,139,0
Tennessee,2015,42,2,1,171,3
Texas,2015,42,4,14,1084,18
Utah,2015,42,1,1,362,2
Vermont,2015,42,0,0,118,0
Virginia,2015,42,0,0,55,0
Washington,2015,42,1,0,223,1
West Virginia,2015,42,1,8,409,9
Wisconsin,2015,42,1,0,648,1
Wyoming,2015,42,0,0,14,0
Alabama,2015,43,3,4,164,7
Arizona,2015,43,0,0,64,0
Arkansas,2015,43,0,0,33,0
California,2015,43,0,0,677,0
Colorado,2015,43,0,1,332,1
Connecticut,2015,43,0,0,335,0
Delaware,2015,43,0,0,31,0
Florida,2015,43,37,15,1262,52
Georgia,2015,43,3,5,511,8
